"UNIDADES DE PRODUCCIÓN RURALES CON CULTIVO PRINCIPAL ANUAL, SEGÚN CICLO DE CULTIVO, ",,,,,,CUADRO 8B,,,,,
"SUPERFICIE SEMBRADA, COSECHADA Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ",,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,,,,,,
,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,CICLO,,,,,,,,
,,, OTOÑO-INVIERNO,,,,,,,,
,SAN CRISTOBAL AMATLAN,,*,  0.25,  0.25,  0.15,,,,,
,SAN DIONISIO OCOTEPEC,,  6,  11.25,  11.25,  2.26,,,,,
,SAN DIONISIO OCOTLAN,,-,-,-,-,,,,,
,SAN FRANCISCO LACHIGOLO,,*,  1.00,  1.00,  0.29,,,,,
,SAN FRANCISCO OZOLOTEPEC,,-,-,-,-,,,,,
,SAN FRANCISCO SOLA,,-,-,-,-,,,,,
,SAN FRANCISCO TELIXTLAHUACA,,-,-,-,-,,,,,
,SAN ILDEFONSO AMATLAN,,*,  0.25,  0.25,  0.03,,,,,
,SAN JERONIMO TAVICHE,,  20,  15.00,  15.00,  3.37,,,,,
,SAN JOSE LACHIGUIRI,,-,-,-,-,,,,,
,ANIMAS TRUJANO,,*,  0.25,  0.25,  0.50,,,,,
,SAN JUAN BAUTISTA JAYACATLAN,,  3,  2.50,  2.25,  0.21,,,,,
,SAN JUAN CHICOMEZUCHIL,,*,  1.00,  1.00,  0.25,,,,,
,SAN JUAN CHILATECA,,  12,  23.50,  21.50,  9.55,,,,,
,SAN JUAN GUELAVIA,,  3,  1.25,  1.00,  0.39,,,,,
,SAN JUAN LACHIGALLA,,*,  3.00,-,-,,,,,
,SAN JUAN MAZATLAN,,*,  0.83,  0.83,  0.50,,,,,
,SAN JUAN TEITIPAC,,  31,  14.92,  14.72,  4.84,,,,,
,SAN LORENZO CACAOTEPEC,,*,  1.00,  1.00,  1.00,,,,,
,SAN LUCAS QUIAVINI,,  5,  5.00,  5.00,  0.46,,,,,
,SAN MARTIN DE LOS CANSECOS,,*,  1.50,  1.50,  0.50,,,,,
,SAN MARTIN LACHILA,,*,  1.00,  0.50,  0.03,,,,,
,SAN MARTIN TILCAJETE,,  8,  8.75,  8.00,  0.97,,,,,
,SAN MATEO DEL MAR,,*,  1.00,  1.00,  0.80,,,,,
,SAN MELCHOR BETAZA,,-,-,-,-,,,,,
,SAN MIGUEL MIXTEPEC,,-,-,-,-,,,,,
,VILLA SOLA DE VEGA,,-,-,-,-,,,,,
,SAN MIGUEL TILQUIAPAM,,-,-,-,-,,,,,
,SAN PABLO ETLA,,-,-,-,-,,,,,
,SAN PABLO HUITZO,,  4,  10.25,  10.00,  4.00,,,,,
,SAN PABLO HUIXTEPEC,,*,  1.00,  1.00,  0.06,,,,,
,SAN PEDRO APOSTOL,,  17,  40.04,  5.12,  2.03,,,,,
,SAN PEDRO TAVICHE,,-,-,-,-,,,,,
,VILLA DE ETLA,,-,-,-,-,,,,,
,SAN SEBASTIAN TEITIPAC,,*,  0.22,  0.22,  0.25,,,,,
,SAN SEBASTIAN TUTLA,,-,-,-,-,,,,,
,SANTA ANA,,*,  3.00,  3.00,  0.15,,,,,
,SANTA ANA DEL VALLE,,  17,  14.00,  13.60,  1.29,,,,,
,SANTA ANA ZEGACHE,,  14,  12.00,  10.50,  0.75,,,,,
,SANTA CATARINA CUIXTLA,,-,-,-,-,,,,,
,SANTA CATARINA MINAS,,*,  0.25,  0.25,  0.02,,,,,
,SANTA CRUZ AMILPAS,,*,  6.00,  6.00,  3.00,,,,,
,SANTA CRUZ MIXTEPEC,,*,  0.25,  0.25,  0.15,,,,,
,SANTA CRUZ PAPALUTLA,,  9,  4.00,  3.82,  0.95,,,,,
,SANTA CRUZ XOXOCOTLAN,,-,-,-,-,,,,,
,SANTA GERTRUDIS,,-,-,-,-,,,,,
,SANTA LUCIA OCOTLAN,,*,  0.25,  0.25,  0.01,,,,,
,AYOQUEZCO DE ALDAMA,,-,-,-,-,,,,,
,SANTA MARIA COLOTEPEC,,  3,  6.50,  6.50,  6.00,,,,,
,SANTA MARIA COYOTEPEC,,*,  6.00,  6.00,  0.50,,,,,
,SANTA MARIA MIXTEQUILLA,,*,  4.00,  4.00,  4.00,,,,,
,SANTA MARIA SOLA,,-,-,-,-,,,,,
,SANTIAGO APOSTOL,,*,  0.13,  0.13,  0.05,,,,,
,SANTIAGO HUAJOLOTITLAN,,-,-,-,-,,,,,
,SANTIAGO IXTAYUTLA,,-,-,-,-,,,,,
,SANTIAGO MATATLAN,,  10,  16.00,  11.00,  1.44,,,,,
,SANTIAGO NACALTEPEC,,*,  1.25,  0.25,  0.35,,,,,
,SANTIAGO PINOTEPA NACIONAL,,*,  2.00,  0.50,  0.38,,,,,
,SANTIAGO TENANGO,,-,-,-,-,,,,,
,SANTO DOMINGO TOMALTEPEC,,-,-,-,-,,,,,
,SANTO TOMAS JALIEZA,,  10,  11.25,  11.00,  3.18,,,,,
,SANTO TOMAS TAMAZULAPAM,,-,-,-,-,,,,,
,SAN VICENTE COATLAN,,-,-,-,-,,,,,
,SAN VICENTE LACHIXIO,,-,-,-,-,,,,,
,SOLEDAD ETLA,,-,-,-,-,,,,,
,TEOTITLAN DEL VALLE,,*,  0.50,  0.50,  0.04,,,,,
,SAN JERONIMO TLACOCHAHUAYA,,  7,  3.75,  3.75,  1.77,,,,,
,TLACOLULA DE MATAMOROS,,  8,  17.50,  14.00,  5.66,,,,,
,TLALIXTAC DE CABRERA,,*,  1.50,  1.50,  0.50,,,,,
,VILLA DIAZ ORDAZ,,  14,  12.50,  11.75,  2.34,,,,,
,YAXE,,*,  1.50,  1.50,  0.28,,,,,
,VILLA DE ZAACHILA,,  51,  38.25,  38.25,  16.66,,,,,
,ZIMATLAN DE ALVAREZ,,*,  1.50,  1.50,  0.45,,,,,
PUEBLA,,,  177,  116.23,  104.26,  292.68,,,,,
,AJALPAN,,  160,  106.67,  95.00,  286.16,,,,,
,ATZITZIHUACAN,,-,-,-,-,,,,,
,COYOTEPEC,,-,-,-,-,,,,,
,HUAQUECHULA,,  3,  1.86,  1.86,  1.05,,,,,
,HUEJOTZINGO,,*,  0.25,  0.25,  0.14,,,,,
,IXCAQUIXTLA,,*,  1.00,  1.00,  0.08,,,,,
,PAHUATLAN,,  6,  2.00,  1.70,  1.20,,,,,
,SAN JOSE MIAHUATLAN,,*,  0.50,  0.50,  0.05,,,,,
,SANTA INES AHUATEMPAN,,-,-,-,-,,,,,
,TEPEMAXALCO,,-,-,-,-,,,,,
,TEPEOJUMA,,*,  0.70,  0.70,  1.72,,,,,
,TEPETZINTLA,,*,  0.50,  0.50,  2.00,,,,,
,TLAPANALA,,*,  2.00,  2.00,  0.29,,,,,
,TLATLAUQUITEPEC,,*,  0.75,  0.75,  0.00,,,,,
,TOCHIMILCO,,-,-,-,-,,,,,
,ZACATLAN,,-,-,-,-,,,,,
QUERETARO,,,  242,  401.22,  383.75,  207.53,,,,,
,PINAL DE AMOLES,,  3,  1.25,  0.75,  1.16,,,,,
,ARROYO SECO,,  19,  33.75,  31.50,  18.48,,,,,
,CADEREYTA DE MONTES,,-,-,-,-,,,,,
,COLON,,*,  1.00,  1.00,  1.25,,,,,
,CORREGIDORA,,-,-,-,-,,,,,
,JALPAN DE SERRA,,  109,  206.55,  206.33,  144.37,,,,,
,LANDA DE MATAMOROS,,  98,  97.17,  83.17,  35.72,,,,,
,"MARQUES, EL",,-,-,-,-,,,,,
,PEÑAMILLER,,-,-,-,-,,,,,
,QUERETARO,,  9,  9.25,  8.75,  4.70,,,,,
,SAN JOAQUIN,,*,  50.00,  50.00,  1.07,,,,,
,SAN JUAN DEL RIO,,*,  0.25,  0.25,  0.72,,,,,
,TEQUISQUIAPAN,,-,-,-,-,,,,,
,TOLIMAN,,*,  2.00,  2.00,  0.06,,,,,
QUINTANA ROO,,,*,  1.00,-,-,,,,,
,COZUMEL,,*,  1.00,-,-,,,,,
,BENITO JUAREZ,,-,-,-,-,,,,,
SAN LUIS POTOSI,,,  927, 2 081.88, 1 860.90, 2 245.13,,,,,
,ALAQUINES,,  36,  21.13,  20.26,  3.98,,,,,
,AQUISMON,,  6,  11.75,  11.50,  4.35,,,,,
,ARMADILLO DE LOS INFANTE,,  4,  20.00,  2.00,  0.40,,,,,
,CARDENAS,,  41,  32.98,  30.24,  18.02,,,,,
,CERRITOS,,  83,  194.01,  133.77,  156.18,,,,,
,CIUDAD DEL MAIZ,,  102,  127.67,  111.75,  51.76,,,,,
,CIUDAD FERNANDEZ,,  30,  57.50,  55.00,  29.45,,,,,
,CIUDAD VALLES,,*,  0.50,  0.50,  0.05,,,,,
,GUADALCAZAR,,  11,  6.50,  2.75,  2.40,,,,,
,LAGUNILLAS,,  59,  118.50,  109.00,  53.98,,,,,
,RAYON,,  130,  361.75,  317.25,  140.07,,,,,
,RIOVERDE,,  101,  133.58,  125.62,  216.46,,,,,
,SAN CIRO DE ACOSTA,,  247,  859.52,  834.52, 1 492.34,,,,,
,SAN LUIS POTOSI,,  4,  6.00,  3.00,  3.55,,,,,
,SAN NICOLAS TOLENTINO,,  6,  6.50,  6.50,  5.31,,,,,
,SANTA CATARINA,,  28,  50.75,  35.25,  27.22,,,,,
,TAMASOPO,,  3,  5.25,  5.25,  0.77,,,,,
,VENADO,,-,-,-,-,,,,,
,VILLA DE GUADALUPE,,-,-,-,-,,,,,
,VILLA HIDALGO,,  16,  12.00,  8.75,  2.41,,,,,
,VILLA JUAREZ,,  19,  56.00,  48.00,  36.45,,,,,
SINALOA,,, 2 457, 33 761.02, 29 184.72, 42 446.43,,,,,
,AHOME,,  126, 1 975.00, 1 869.00, 5 496.03,,,,,
,ANGOSTURA,,  278, 3 590.84, 2 839.84, 2 775.82,,,,,
,BADIRAGUATO,,*,  2.00,  2.00,  1.50,,,,,
,CULIACAN,,  71, 1 234.34,  839.34, 1 290.01,,,,,
,ELOTA,,*,  5.00,  2.00,  0.20,,,,,
,"FUERTE, EL",,  28,  388.33,  378.00, 8 363.94,,,,,
,GUASAVE,,  347, 4 198.22, 3 819.97, 4 643.10,,,,,
,MOCORITO,,  599, 8 513.95, 6 913.39, 5 737.76,,,,,
,SALVADOR ALVARADO,,  555, 8 207.80, 7 503.65, 8 071.81,,,,,
,SINALOA,,  320, 3 964.04, 3 736.04, 3 767.26,,,,,
,NAVOLATO,,  129, 1 681.50, 1 281.50, 2 299.00,,,,,
SONORA,,,  202, 13 168.55, 12 946.05, 26 460.99,,,,,
,BACUM,,  4,  46.00,  46.00,  134.00,,,,,
,CAJEME,,  3,  489.00,  489.00, 1 056.00,,,,,
,"COLORADA, LA",,*,  10.00,  10.00,  100.00,,,,,
,ETCHOJOA,,  11,  191.50,  191.50,  350.60,,,,,
,GUAYMAS,,  10,  775.00,  735.00, 1 084.00,,,,,
,HERMOSILLO,,  101, 9 674.68, 9 525.64, 18 417.24,,,,,
,HUATABAMPO,,  13,  494.34,  494.34, 1 433.26,,,,,
,MAGDALENA,,-,-,-,-,,,,,
,NAVOJOA,,  46,  441.78,  417.32,  628.19,,,,,
,PITIQUITO,,*, 1 000.00, 1 000.00, 3 200.00,,,,,
,QUIRIEGO,,  9,  45.50,  36.50,  57.17,,,,,
,ROSARIO,,*,  0.75,  0.75,  0.53,,,,,
TABASCO,,,-,-,-,-,,,,,
,TACOTALPA,,-,-,-,-,,,,,
TAMAULIPAS,,,  28,  86.75,  74.50,  36.44,,,,,
,ANTIGUO MORELOS,,*,  6.50,  6.50,  3.03,,,,,
,GONZALEZ,,  3,  19.50,  19.50,  10.60,,,,,
,GÜEMEZ,,-,-,-,-,,,,,
,JAUMAVE,,  7,  12.75,  12.50,  6.98,,,,,
,LLERA,,*,  2.00,  2.00,  1.10,,,,,
,"MANTE,EL",,*,  30.00,  20.00,  10.00,,,,,
,TULA,,  11,  8.00,  6.00,  2.23,,,,,
,VICTORIA,,*,  8.00,  8.00,  2.50,,,,,
TLAXCALA,,,*,  0.50,  0.50,  1.00,,,,,
,APETATITLAN DE ANTONIO CARVAJAL,,-,-,-,-,,,,,
,ZACATELCO,,*,  0.50,  0.50,  1.00,,,,,
VERACRUZ,,,  66,  19.95,  18.55,  6.59,,,,,
,ACULTZINGO,,-,-,-,-,,,,,
,ATZALAN,,*,  1.00,-,-,,,,,
,MINATITLAN,,*,  0.75,  0.75,  0.70,,,,,
,PAPANTLA,,*,  1.00,  1.00,  0.20,,,,,
,TANCOCO,,*,  0.25,  0.25,  0.25,,,,,
,TANTOYUCA,,*,  1.50,  1.50,  1.00,,,,,
,TEHUIPANGO,,  60,  15.45,  15.05,  4.44,,,,,
MAIZ,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 471 586,1 233 328.98,1 132 603.56,1 918 748.15,,,,,
AGUASCALIENTES,,,  929, 3 838.03, 3 100.45, 3 688.10,,,,,
,AGUASCALIENTES,,  561, 2 623.49, 2 128.26, 2 378.17,,,,,
,ASIENTOS,,  83,  279.75,  218.96,  155.90,,,,,
,CALVILLO,,  69,  320.80,  310.35,  568.47,,,,,
,COSIO,,  9,  18.20,  18.20,  40.77,,,,,
,JESUS MARIA,,  127,  330.54,  215.93,  290.05,,,,,
,PABELLON DE ARTEAGA,,  16,  51.50,  42.50,  41.00,,,,,
,RINCON DE ROMOS,,  53,  183.75,  141.25,  183.05,,,,,
,SAN JOSE DE GRACIA,,  4,  9.00,  8.00,  15.20,,,,,
,TEPEZALA,,  7,  21.00,  17.00,  15.50,,,,,
BAJA CALIFORNIA,,,  258,  764.35,  561.10, 1 109.88,,,,,
,ENSENADA,,  109,  384.26,  292.00,  526.78,,,,,
,MEXICALI,,  51,  206.25,  177.00,  426.15,,,,,
,TECATE,,  13,  10.83,  8.33,  22.49,,,,,
,TIJUANA,,  85,  163.02,  83.77,  134.45,,,,,
BAJA CALIFORNIA SUR,,,  561, 2 358.38, 2 172.40, 6 318.21,,,,,
,COMONDU,,  138, 1 797.85, 1 675.85, 5 465.75,,,,,
,MULEGE,,  31,  48.72,  37.72,  96.27,,,,,
,"PAZ, LA",,  108,  222.85,  184.69,  298.67,,,,,
,"CABOS, LOS",,  284,  288.96,  274.13,  457.52,,,,,
CAMPECHE,,, 6 788, 18 566.66, 16 405.20, 15 228.28,,,,,
,CALKINI,,  137,  206.04,  192.26,  161.37,,,,,
,CAMPECHE,,  280,  698.01,  616.34,  919.19,,,,,
,CARMEN,, 1 552, 3 884.89, 3 637.36, 3 322.49,,,,,
,CHAMPOTON,, 2 160, 5 913.71, 5 272.25, 5 019.07,,,,,
,HECELCHAKAN,,  30,  99.50,  97.50,  132.00,,,,,
,HOPELCHEN,, 1 265, 3 671.75, 2 763.62, 2 052.51,,,,,
,PALIZADA,,  123,  223.49,  215.49,  221.50,,,,,
,TENABO,,  24,  35.81,  34.31,  36.34,,,,,
,ESCARCEGA,, 1 217, 3 833.45, 3 576.06, 3 363.80,,,,,
COAHUILA,,, 1 444, 3 839.93, 3 200.71, 3 123.10,,,,,
,ABASOLO,,  6,  7.00,  6.50,  8.00,,,,,
,ACUÑA,,  43,  133.50,  123.50,  98.17,,,,,
,ALLENDE,,  7,  31.00,  30.00,  24.80,,,,,
,ARTEAGA,,  127,  752.45,  667.45,  791.78,,,,,
,CANDELA,,  23,  42.53,  28.27,  40.55,,,,,
,CASTAÑOS,,  11,  43.00,  32.00,  32.50,,,,,
,CUATROCIENEGAS,,  31,  28.00,  19.75,  12.24,,,,,
,ESCOBEDO,,  14,  19.00,  19.00,  17.80,,,,,
,FRANCISCO I. MADERO,,-,-,-,-,,,,,
,FRONTERA,,  14,  38.00,  22.50,  21.89,,,,,
,GENERAL CEPEDA,,  15,  77.00,  69.00,  67.80,,,,,
,GUERRERO,,  9,  21.50,  14.50,  10.25,,,,,
,HIDALGO,,*,  4.00,  4.00,  8.00,,,,,
,JIMENEZ,,  52,  125.75,  118.45,  105.77,,,,,
,JUAREZ,,  14,  21.50,  14.50,  16.50,,,,,
,LAMADRID,,  12,  15.75,  11.50,  5.97,,,,,
,MATAMOROS,,  31,  58.95,  57.95,  95.25,,,,,
,MONCLOVA,,  69,  121.40,  96.39,  96.63,,,,,
,MORELOS,,  20,  42.40,  42.40,  38.30,,,,,
,MUZQUIZ,,  163,  264.25,  196.50,  111.51,,,,,
,NADADORES,,  21,  42.00,  42.00,  54.12,,,,,
,NAVA,,  13,  39.50,  25.00,  24.46,,,,,
,OCAMPO,,  36,  44.00,  40.75,  24.89,,,,,
,PARRAS,,  207,  665.13,  555.38,  614.38,,,,,
,PIEDRAS NEGRAS,,  27,  67.33,  40.83,  22.84,,,,,
,PROGRESO,,  52,  110.25,  68.00,  44.98,,,,,
,RAMOS ARIZPE,,  119,  243.10,  227.85,  212.96,,,,,
,SABINAS,,  90,  175.67,  111.32,  96.78,,,,,
,SACRAMENTO,,  3,  5.50,  5.50,  4.97,,,,,
,SALTILLO,,  64,  256.97,  221.16,  120.45,,,,,
,SAN BUENAVENTURA,,  16,  55.50,  54.50,  55.80,,,,,
,SAN JUAN DE SABINAS,,  20,  42.00,  28.00,  27.50,,,,,
,SAN PEDRO,,*,  2.25,  0.25,  0.50,,,,,
,SIERRA MOJADA,,*,  1.00,  0.50,  0.50,,,,,
,TORREON,,  28,  72.25,  71.25,  106.37,,,,,
,VIESCA,,  26,  36.50,  34.00,  37.88,,,,,
,VILLA UNION,,  41,  74.00,  44.00,  29.28,,,,,
,ZARAGOZA,,  15,  60.00,  56.28,  40.74,,,,,
COLIMA,,, 1 717, 6 491.57, 5 972.60, 11 805.28,,,,,
,ARMERIA,,  104,  293.00,  281.50,  464.86,,,,,
,COLIMA,,  144,  683.45,  596.73, 1 258.04,,,,,
,COMALA,,  83,  221.25,  199.75,  450.74,,,,,
,COQUIMATLAN,,  476, 2 091.65, 2 056.65, 4 632.71,,,,,
,CUAUHTEMOC,,  28,  87.03,  83.03,  223.91,,,,,
,IXTLAHUACAN,,  100,  194.17,  189.42,  385.24,,,,,
,MANZANILLO,,  396, 1 466.25, 1 384.98, 2 220.97,,,,,
,MINATITLAN,,  153,  436.03,  410.50,  491.91,,,,,
,TECOMAN,,  183,  764.75,  526.05, 1 127.64,,,,,
,VILLA DE ALVAREZ,,  50,  254.00,  244.00,  549.27,,,,,
CHIAPAS,,, 61 237, 101 842.52, 96 424.09, 119 111.91,,,,,
,ACACOYAGUA,,  343,  552.17,  525.24,  714.03,,,,,
,ACALA,,  104,  306.00,  282.00,  474.38,,,,,
,ACAPETAHUA,,  541, 1 217.94, 1 137.78, 1 706.72,,,,,
,ALTAMIRANO,,  216,  409.00,  376.84,  421.40,,,,,
,AMATAN,,  917, 1 521.52, 1 423.37, 1 918.38,,,,,
,AMATENANGO DE LA FRONTERA,,  115,  118.34,  114.70,  186.18,,,,,
,AMATENANGO DEL VALLE,,  4,  11.00,  11.00,  12.29,,,,,
,ANGEL ALBINO CORZO,,  3,  6.00,  6.00,  12.00,,,,,
,ARRIAGA,,  34,  72.00,  70.00,  62.87,,,,,
,BEJUCAL DE OCAMPO,,  8,  10.00,  9.75,  18.50,,,,,
,BELLA VISTA,,  27,  37.00,  33.80,  44.98,,,,,
,BERRIOZABAL,,  298,  891.17,  841.75,  896.24,,,,,
,BOCHIL,,  9,  15.75,  13.75,  13.60,,,,,
,"BOSQUE, EL",,  8,  7.50,  7.50,  7.35,,,,,
,CACAHOATAN,,*,  4.00,  3.50,  2.50,,,,,
,CATAZAJA,,  535,  978.41,  794.02, 1 052.80,,,,,
,CINTALAPA,,  230,  435.75,  413.92,  545.21,,,,,
,COAPILLA,,  37,  88.75,  82.50,  61.85,,,,,
,COMITAN DE DOMINGUEZ,,  305,  514.73,  508.63,  452.78,,,,,
,"CONCORDIA, LA",,  548, 1 273.00, 1 207.91, 2 722.68,,,,,
,COPAINALA,,  144,  171.25,  164.00,  160.34,,,,,
,CHALCHIHUITAN,,  196,  164.25,  155.45,  126.30,,,,,
,CHAMULA,,  132,  87.75,  86.25,  76.70,,,,,
,CHANAL,,  79,  153.50,  150.03,  201.22,,,,,
,CHAPULTENANGO,,  505, 1 017.35,  827.78,  460.75,,,,,
,CHENALHO,, 1 283, 1 282.42, 1 240.13,  782.31,,,,,
,CHIAPA DE CORZO,,  249,  782.25,  714.00, 1 161.96,,,,,
,CHIAPILLA,,  84,  92.50,  90.75,  176.57,,,,,
,CHICOASEN,,*,  10.00,  10.00,  4.50,,,,,
,CHICOMUSELO,,  4,  6.00,  6.00,  14.00,,,,,
,CHILON,, 4 927, 5 774.71, 5 497.03, 5 029.47,,,,,
,ESCUINTLA,,  335,  509.02,  498.77,  607.76,,,,,
,FRANCISCO LEON,,  566,  738.92,  593.61,  406.39,,,,,
,FRONTERA COMALAPA,, 1 281, 4 448.25, 4 398.25, 11 446.55,,,,,
,FRONTERA HIDALGO,,  110,  493.75,  493.75, 1 501.33,,,,,
,"GRANDEZA, LA",,-,-,-,-,,,,,
,HUEHUETAN,,  305,  778.05,  729.87,  782.99,,,,,
,HUIXTAN,,  51,  95.75,  89.75,  99.45,,,,,
,HUITIUPAN,, 1 378, 2 216.66, 2 184.03, 2 200.97,,,,,
,HUIXTLA,,  514, 1 134.14, 1 012.10, 1 489.66,,,,,
,"INDEPENDENCIA, LA",,  121,  191.32,  175.70,  196.28,,,,,
,IXHUATAN,,  5,  4.50,  4.50,  3.25,,,,,
,IXTACOMITAN,,  145,  305.50,  294.25,  160.85,,,,,
,IXTAPA,,  51,  27.25,  27.25,  27.51,,,,,
,IXTAPANGAJOYA,,  165,  240.91,  188.18,  251.01,,,,,
,JIQUIPILAS,,  126,  167.42,  163.92,  274.34,,,,,
,JITOTOL,,  73,  279.75,  189.75,  332.84,,,,,
,JUAREZ,,  425,  821.80,  661.35,  757.54,,,,,
,LARRAINZAR,,  18,  13.75,  12.75,  8.32,,,,,
,"LIBERTAD, LA",,  332,  705.00,  601.25,  917.38,,,,,
,MAPASTEPEC,,  542, 1 258.06, 1 175.83, 1 826.90,,,,,
,"MARGARITAS, LAS",, 2 317, 4 164.83, 4 042.60, 4 370.91,,,,,
,MAZAPA DE MADERO,,  24,  27.88,  26.88,  14.37,,,,,
,MAZATAN,,  196,  795.25,  755.25, 1 498.31,,,,,
,METAPA,,  52,  138.75,  129.75,  280.10,,,,,
,MITONTIC,,  35,  31.17,  29.01,  26.97,,,,,
,MOTOZINTLA,,  10,  11.56,  11.56,  10.36,,,,,
,NICOLAS RUIZ,,-,-,-,-,,,,,
,OCOSINGO,, 6 008, 9 447.50, 9 219.01, 10 682.08,,,,,
,OCOTEPEC,,  29,  29.08,  28.58,  22.88,,,,,
,OCOZOCOAUTLA DE ESPINOSA,,  928, 2 466.77, 2 396.84, 3 619.42,,,,,
,OSTUACAN,,  787, 1 514.25, 1 304.60,  780.67,,,,,
,OSUMACINTA,,-,-,-,-,,,,,
,OXCHUC,,  4,  1.41,  1.41,  0.55,,,,,
,PALENQUE,, 2 987, 5 818.91, 5 375.19, 5 699.30,,,,,
,PANTELHO,, 1 130, 1 339.75, 1 299.39,  657.14,,,,,
,PANTEPEC,,  266,  550.00,  396.27,  270.25,,,,,
,PICHUCALCO,,  198,  408.33,  386.76,  368.58,,,,,
,PIJIJIAPAN,,  506, 1 178.25, 1 104.42, 1 371.50,,,,,
,"PORVENIR, EL",,  73,  115.50,  114.68,  177.69,,,,,
,VILLA COMALTITLAN,,  614, 1 278.82, 1 202.63, 1 817.57,,,,,
,PUEBLO NUEVO SOLISTAHUACAN,,  158,  210.75,  207.30,  183.77,,,,,
,RAYON,,  76,  117.00,  100.75,  120.15,,,,,
,REFORMA,,  250,  624.50,  507.76,  609.46,,,,,
,"ROSAS, LAS",,  130,  101.00,  98.13,  164.29,,,,,
,SABANILLA,, 2 158, 2 532.47, 2 464.36, 2 110.29,,,,,
,SALTO DE AGUA,, 3 640, 6 734.75, 6 339.72, 6 073.60,,,,,
,SAN CRISTOBAL DE LAS CASAS,,  76,  147.84,  145.09,  90.26,,,,,
,SAN FERNANDO,,  404,  660.75,  625.25,  555.99,,,,,
,SILTEPEC,,  764, 1 106.68, 1 079.93, 1 096.52,,,,,
,SIMOJOVEL,, 3 348, 5 341.06, 5 280.01, 5 223.43,,,,,
,SITALA,,  546,  583.64,  486.02,  451.97,,,,,
,SOCOLTENANGO,,  126,  333.75,  327.75,  509.50,,,,,
,SOLOSUCHIAPA,,  14,  16.00,  16.00,  13.18,,,,,
,SOYALO,,*,  1.00,  1.00,  1.00,,,,,
,SUCHIAPA,,  3,  4.00,  4.00,  3.85,,,,,
,SUCHIATE,,  260,  979.08,  955.02, 1 533.65,,,,,
,SUNUAPA,,  79,  148.00,  130.70,  137.75,,,,,
,TAPACHULA,, 1 114, 4 032.20, 3 957.89, 7 320.67,,,,,
,TAPALAPA,,  125,  190.50,  175.50,  127.32,,,,,
,TAPILULA,,  46,  35.25,  34.25,  32.43,,,,,
,TECPATAN,,  821, 1 401.50, 1 273.38, 1 004.04,,,,,
,TENEJAPA,, 1 436, 1 573.90, 1 534.93,  938.83,,,,,
,TEOPISCA,,  152,  155.41,  148.41,  176.96,,,,,
,TILA,, 4 397, 4 160.31, 3 866.51, 3 592.13,,,,,
,TONALA,,  236,  431.50,  391.50,  479.94,,,,,
,TOTOLAPA,,*,  1.00,  1.00,  1.00,,,,,
,"TRINITARIA, LA",, 1 089, 2 624.01, 2 582.70, 5 200.67,,,,,
,TUMBALA,, 1 251, 1 311.95, 1 278.33, 1 478.70,,,,,
,TUXTLA GUTIERREZ,,  56,  124.00,  108.25,  133.42,,,,,
,TUXTLA CHICO,,  566,  996.16,  953.09, 1 175.18,,,,,
,TUZANTAN,,  198,  300.37,  264.24,  236.30,,,,,
,TZIMOL,,  30,  46.25,  44.75,  66.88,,,,,
,UNION JUAREZ,,  28,  46.50,  46.50,  18.35,,,,,
,VENUSTIANO CARRANZA,,  132,  317.75,  297.75,  590.47,,,,,
,VILLA CORZO,,  136,  347.28,  343.28, 1 088.56,,,,,
,VILLAFLORES,,  274,  358.41,  334.91,  623.39,,,,,
,YAJALON,,  268,  363.12,  314.12,  272.49,,,,,
,SAN LUCAS,,  18,  22.98,  22.98,  19.06,,,,,
,ZINACANTAN,,  36,  59.50,  54.50,  60.71,,,,,
,SAN JUAN CANCUC,, 2 198, 1 540.58, 1 501.49, 1 114.96,,,,,
CHIHUAHUA,,,  16,  124.50,  105.00,  260.09,,,,,
,AHUMADA,,-,-,-,-,,,,,
,ALDAMA,,-,-,-,-,,,,,
,ALLENDE,,-,-,-,-,,,,,
,AQUILES SERDAN,,-,-,-,-,,,,,
,ASCENSION,,-,-,-,-,,,,,
,BACHINIVA,,-,-,-,-,,,,,
,BALLEZA,,-,-,-,-,,,,,
,BATOPILAS,,-,-,-,-,,,,,
,BOCOYNA,,-,-,-,-,,,,,
,BUENAVENTURA,,-,-,-,-,,,,,
,CAMARGO,,-,-,-,-,,,,,
,CARICHI,,-,-,-,-,,,,,
,CASAS GRANDES,,-,-,-,-,,,,,
,CORONADO,,-,-,-,-,,,,,
,COYAME,,-,-,-,-,,,,,
,"CRUZ, LA",,-,-,-,-,,,,,
,CUAUHTEMOC,,-,-,-,-,,,,,
,CUSIHUIRIACHI,,-,-,-,-,,,,,
,CHIHUAHUA,,-,-,-,-,,,,,
,CHINIPAS,,-,-,-,-,,,,,
,DELICIAS,,-,-,-,-,,,,,
,DOCTOR BELISARIO DOMINGUEZ,,-,-,-,-,,,,,
,GALEANA,,-,-,-,-,,,,,
,GENERAL TRIAS,,-,-,-,-,,,,,
,GOMEZ FARIAS,,-,-,-,-,,,,,
,GRAN MORELOS,,-,-,-,-,,,,,
